cluster,ticker
1,AVY
1,EXPD
1,J
1,ORCL
1,LIN
1,UPS
1,TGT
1,FAST
1,ITW
1,IEX
14,ACN
14,STE
14,IQV
14,HD
14,TSCO
14,BRO
14,PLD
14,ABT
9,DG
9,PEP
9,MDLZ
9,PGR
9,JNJ
9,GIS
9,AMGN
9,LLY
18,WRB
18,CB
18,KO
18,ALL
18,PM
2,NOW
2,ADSK
2,ETSY
2,EPAM
2,PAYC
11,DOV
11,EL
11,NSC
11,TT
11,JCI
11,SYK
11,TEL
11,BLK
19,NVR
19,DHI
19,PHM
19,TDG
19,LEN
19,AES
19,HCA
17,KIM
17,HIG
17,DRI
17,SYY
12,POOL
12,MSFT
12,TECH
12,CPRT
12,DHR
12,RMD
12,TXN
12,MTD
0,ALK
0,LUV
0,DAL
0,WYNN
0,PARA
10,PNC
10,NTRS
10,IPG
10,GS
10,EMR
3,PEG
3,DTE
3,O
3,MAA
3,CME
6,LRCX
6,NXPI
6,MCHP
6,TRMB
6,TER
6,QCOM
16,LNT
16,AEE
16,SO
16,DUK
16,WM
16,HSY
13,AAL
13,NCLH
13,UAL
7,CBRE
7,F
7,AXP
8,KEY
8,ZION
5,EOG
5,FANG
5,APA
4,MPC
4,XOM
15,SEDG
15,TSLA
